metric,period_ms,ms,successful_reads,total_reads,successful_writes,total_writes
KVS,50,7,12,12,9,12
KVS,50,12,12,12,9,9
KVS,50,12,12,12,9,11
KVS,50,12,11,12,3,12
KVS,50,12,12,12,9,12
KVS,50,14,12,12,9,11
KVS,50,14,11,12,3,12
KVS,50,14,12,12,9,9
KVS,50,13,12,12,9,12
KVS,50,15,11,12,3,12
KVS,50,15,12,12,9,9
KVS,50,15,12,12,9,11
KVS,50,3,24,24,18,24
KVS,50,3,21,24,18,24
KVS,50,3,24,24,18,24
KVS,50,3,22,24,6,22
KVS,50,3,24,24,18,24
KVS,50,6,24,24,18,24
KVS,50,6,22,24,6,22
KVS,50,6,21,24,18,24
KVS,50,5,24,24,18,24
KVS,50,7,24,24,18,24
KVS,50,7,22,24,6,22
KVS,50,8,21,24,18,24
KVS,50,2,34,33,27,36
KVS,50,2,34,33,27,36
KVS,50,3,36,36,27,36
KVS,50,3,33,30,27,36
KVS,50,3,35,36,9,36
KVS,50,4,36,36,27,36
KVS,50,4,33,30,27,36
KVS,50,4,35,36,9,36
KVS,50,4,34,33,27,36
KVS,50,6,36,36,27,36
KVS,50,6,33,30,27,36
KVS,50,6,35,36,9,36
KVS,50,2,48,48,35,48
KVS,50,3,48,48,36,47
KVS,50,3,47,48,12,48
KVS,50,3,48,48,36,48
KVS,50,2,48,48,35,48
KVS,50,3,48,48,35,48
KVS,50,3,48,48,36,48
KVS,50,3,47,48,12,48
KVS,50,3,48,48,36,47
KVS,50,4,48,48,36,47
KVS,50,4,48,48,36,48
KVS,50,4,47,48,12,48
KVS,50,3,58,60,45,60
KVS,50,3,59,60,15,60
KVS,50,3,60,60,45,60
KVS,50,3,57,60,45,60
KVS,50,3,58,60,45,60
KVS,50,4,59,60,15,60
KVS,50,4,57,60,45,60
KVS,50,4,60,60,45,60
KVS,50,4,58,60,45,60
KVS,50,5,59,60,15,60
KVS,50,5,60,60,45,60
KVS,50,5,57,60,45,60
KVS,50,2,72,72,54,72
KVS,50,2,72,72,18,72
KVS,50,2,71,72,54,72
KVS,50,2,72,72,54,72
KVS,50,2,72,72,54,72
KVS,50,3,72,72,54,72
KVS,50,3,72,72,18,72
KVS,50,3,72,72,54,72
KVS,50,3,71,72,54,72
KVS,50,4,72,72,54,72
KVS,50,4,72,72,18,72
KVS,50,4,71,72,54,72
KVS,50,2,84,84,63,84
KVS,50,3,84,84,63,83
KVS,50,3,84,84,63,83
KVS,50,3,84,84,21,84
KVS,50,3,84,84,63,84
KVS,50,3,84,84,63,84
KVS,50,4,84,84,63,83
KVS,50,4,84,84,21,84
KVS,50,4,84,84,63,83
KVS,50,5,84,84,63,83
KVS,50,5,84,84,21,84
KVS,50,5,84,84,63,83
KVS,50,3,96,96,72,96
KVS,50,3,95,96,24,96
KVS,50,3,96,96,72,95
KVS,50,3,96,96,72,96
KVS,50,3,93,96,72,96
KVS,50,4,96,96,72,95
KVS,50,4,96,96,72,96
KVS,50,4,95,96,24,96
KVS,50,4,93,96,72,96
KVS,50,5,96,96,72,95
KVS,50,5,95,96,24,96
KVS,50,5,93,96,72,96
KVS,50,2,107,108,81,108
KVS,50,2,105,105,81,108
KVS,50,2,106,108,27,108
KVS,50,2,107,108,81,108
KVS,50,2,108,108,81,108
KVS,50,3,105,105,81,108
KVS,50,3,108,108,81,108
KVS,50,3,106,108,27,108
KVS,50,2,107,108,81,108
KVS,50,3,106,108,27,108
KVS,50,3,108,108,81,108
KVS,50,3,105,105,81,108
KVS,50,2,120,120,90,120
KVS,50,2,120,117,89,120
KVS,50,2,119,120,90,117
KVS,50,2,120,120,90,120
KVS,50,3,120,114,30,120
KVS,50,4,120,117,89,120
KVS,50,4,120,120,90,120
KVS,50,4,120,114,30,120
KVS,50,4,119,120,90,117
KVS,50,6,120,117,89,120
KVS,50,6,119,120,90,117
KVS,50,6,120,114,30,120
KVS,50,1,131,132,99,132
KVS,50,2,130,132,99,132
KVS,50,2,129,132,99,132
KVS,50,2,132,132,33,129
KVS,50,2,131,132,99,132
KVS,50,2,130,132,99,132
KVS,50,2,129,132,99,132
KVS,50,2,131,132,99,132
KVS,50,2,132,132,33,129
KVS,50,3,132,132,33,129
KVS,50,3,129,132,99,132
KVS,50,3,130,132,99,132
KVS,50,1,144,144,107,144
KVS,50,2,142,144,36,144
KVS,50,2,144,144,107,144
KVS,50,2,144,144,108,144
KVS,50,2,144,144,108,141
KVS,50,2,144,144,108,144
KVS,50,2,144,144,108,141
KVS,50,2,144,144,107,144
KVS,50,2,142,144,36,144
KVS,50,3,144,144,108,144
KVS,50,3,144,144,108,141
KVS,50,3,142,144,36,144
KVS,50,2,156,156,117,156
KVS,50,2,156,156,39,156
KVS,50,2,156,156,116,156
KVS,50,2,156,156,117,156
KVS,50,2,155,156,117,156
KVS,50,4,156,156,39,156
KVS,50,3,156,156,117,156
KVS,50,4,155,156,117,156
KVS,50,4,156,156,116,156
KVS,50,5,156,156,39,156
KVS,50,5,155,156,117,156
KVS,50,5,156,156,116,156
KVS,50,4,167,168,126,168
KVS,50,4,168,168,126,168
KVS,50,4,168,168,42,168
KVS,50,4,167,168,126,168
KVS,50,4,168,168,126,168
KVS,50,6,168,168,126,168
KVS,50,6,168,168,42,168
KVS,50,5,167,168,126,168
KVS,50,6,168,168,126,168
KVS,50,7,168,168,126,168
KVS,50,7,168,168,126,168
KVS,50,7,168,168,42,168
KVS,50,3,180,180,135,180
KVS,50,4,180,180,135,180
KVS,50,4,179,180,135,180
KVS,50,4,180,180,135,180
KVS,50,4,180,180,45,178
KVS,50,6,179,180,135,180
KVS,50,6,180,180,135,180
KVS,50,6,180,180,45,178
KVS,50,5,180,180,135,180
KVS,50,7,180,180,45,178
KVS,50,7,179,180,135,180
KVS,50,7,180,180,135,180
KVS,50,2,192,189,144,191
KVS,50,2,192,192,144,189
KVS,50,2,192,192,48,192
KVS,50,2,191,186,144,190
KVS,50,2,192,189,144,191
KVS,50,3,192,192,144,189
KVS,50,3,191,186,144,190
KVS,50,3,192,189,144,191
KVS,50,3,192,192,48,192
KVS,50,4,192,192,48,192
KVS,50,4,191,186,144,190
KVS,50,4,192,192,144,189
KVS,50,2,204,204,153,204
KVS,50,3,201,201,153,204
KVS,50,3,203,204,153,204
KVS,50,3,202,204,51,203
KVS,50,3,204,204,153,204
KVS,50,5,203,204,153,204
KVS,50,5,202,204,51,203
KVS,50,5,201,201,153,204
KVS,50,4,204,204,153,204
KVS,50,6,201,201,153,204
KVS,50,6,202,204,51,203
KVS,50,6,203,204,153,204
KVS,50,5,214,216,162,215
KVS,50,6,216,216,162,216
KVS,50,6,215,216,162,216
KVS,50,6,213,213,54,214
KVS,50,6,214,216,162,215
KVS,50,9,216,216,162,216
KVS,50,9,213,213,54,214
KVS,50,9,214,216,162,215
KVS,50,9,215,216,162,216
KVS,50,11,213,213,54,214
KVS,50,11,215,216,162,216
KVS,50,11,216,216,162,216
KVS,50,3,228,228,170,227
KVS,50,3,228,228,170,227
KVS,50,3,228,228,57,228
KVS,50,3,227,228,171,226
KVS,50,3,225,225,171,228
KVS,50,4,228,228,57,228
KVS,50,4,227,228,171,226
KVS,50,4,228,228,170,227
KVS,50,4,225,225,171,228
KVS,50,5,228,228,57,228
KVS,50,5,227,228,171,226
KVS,50,5,225,225,171,228
KVS,50,3,239,240,179,239
KVS,50,3,239,240,179,239
KVS,50,3,240,240,60,237
KVS,50,3,237,240,180,240
KVS,50,3,238,240,178,238
KVS,50,5,237,240,180,240
KVS,50,5,238,240,178,238
KVS,50,5,239,240,179,239
KVS,50,5,240,240,60,237
KVS,50,6,238,240,178,238
KVS,50,6,240,240,60,237
KVS,50,6,237,240,180,240
